LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1766787846.640034,121040.000,17689,3,MY,1,100,-4
1766787846.680034,121080.000,17689,3,MY,1,100,-5
1766787846.716034,121116.000,17707,3,MY,1,100,-5
1766787846.752034,121152.000,17707,3,MY,1,100,-5
1766787846.788034,121188.000,17707,3,MY,1,100,-5
1766787846.828034,121228.000,17727,2,MY,1,100,-5
1766787846.868034,121268.000,17727,2,MY,1,100,-4
1766787846.908034,121308.000,17742,3,MY,1,100,-6
1766787846.948034,121348.000,17742,3,MY,1,100,-5
1766787846.988034,121388.000,17742,3,MY,1,100,-6
1766787847.027534,121427.500,17759,2,MY,1,100,-5
1766787847.067034,121467.000,17759,2,MY,1,100,-6
1766787847.107034,121507.000,17778,3,MY,1,100,-5
1766787847.147034,121547.000,17778,3,MY,1,100,-6
1766787847.187034,121587.000,17778,3,MY,1,100,-5
1766787847.227034,121627.000,17794,2,MY,1,100,-5
1766787847.267034,121667.000,17794,2,MY,1,100,-5
