LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1766633912.395211,50265.000,6091,3,PR,1,100,149026
1766633912.435208,50305.000,6105,2,PR,1,100,149039
1766633912.475204,50345.000,6105,2,PR,1,100,149093
1766633912.515201,50385.000,6123,3,PR,1,100,149191
1766633912.555198,50425.000,6123,3,PR,1,100,149288
1766633912.595195,50465.000,6123,3,PR,1,100,149413
1766633912.635191,50505.000,6139,2,PR,1,100,149520
1766633912.675188,50545.000,6139,2,PR,1,100,149611
1766633912.715185,50585.000,6156,3,PR,1,100,149679
1766633912.755182,50625.000,6156,3,PR,1,100,149711
1766633912.795178,50665.000,6156,3,PR,1,100,149704
1766633912.835175,50705.000,6172,3,PR,1,100,149556
1766633912.875172,50745.000,6172,3,PR,1,100,149382
1766633912.915169,50785.000,6172,3,PR,1,100,149228
1766633912.955166,50825.000,6188,2,PR,1,100,149141
1766633912.995162,50865.000,6188,2,PR,1,100,149238
1766633913.035159,50905.000,6204,3,PR,1,100,149338
1766633913.075156,50945.000,6204,3,PR,1,100,149391
1766633913.115153,50985.000,6204,3,PR,1,100,149416
1766633913.155149,51025.000,6221,2,PR,1,100,149325
1766633913.195146,51065.000,6221,2,PR,1,100,149315
1766633913.235143,51105.000,6237,3,PR,1,100,149442
1766633913.275140,51145.000,6237,3,PR,1,100,149673
1766633913.315136,51185.000,6237,3,PR,1,100,149893
1766633913.355133,51225.000,6253,2,PR,1,100,149951
1766633913.395130,51265.000,6253,2,PR,1,100,149937
1766633913.435127,51305.000,6269,3,PR,1,100,149945
1766633913.475123,51345.000,6269,3,PR,1,100,149879
1766633913.515120,51385.000,6269,3,PR,1,100,149799
1766633913.555117,51425.000,6287,2,PR,1,100,149919
1766633913.595114,51465.000,6287,2,PR,1,100,150102
1766633913.635111,51505.000,6303,3,PR,1,100,150184
1766633913.675107,51545.000,6303,3,PR,1,100,150216
1766633913.715104,51585.000,6303,3,PR,1,100,150220
1766633913.755101,51625.000,6318,2,PR,1,100,150181
1766633913.795098,51665.000,6318,2,PR,1,100,150248
1766633913.835094,51705.000,6335,3,PR,1,100,150256
1766633913.875091,51745.000,6335,3,PR,1,100,150299
1766633913.915088,51785.000,6335,3,PR,1,100,150415
1766633913.955085,51825.000,6354,2,PR,1,100,150545
1766633913.995081,51865.000,6354,2,PR,1,100,150634
1766633914.035078,51905.000,6370,3,PR,1,100,150688
1766633914.075075,51945.000,6370,3,PR,1,100,150734
1766633914.115072,51985.000,6370,3,PR,1,100,150771
1766633914.161568,52031.500,6386,2,PR,1,100,150797
1766633914.208064,52078.000,6386,2,PR,1,100,150893
1766633914.248061,52118.000,6402,3,PR,1,100,150985
1766633914.288058,52158.000,6402,3,PR,1,100,151069
1766633914.328055,52198.000,6402,3,PR,1,100,151145
1766633914.368051,52238.000,6419,2,PR,1,100,151178
1766633914.408048,52278.000,6419,2,PR,1,100,151217
1766633914.448045,52318.000,6435,3,PR,1,100,151285
1766633914.488042,52358.000,6435,3,PR,1,100,151352
1766633914.528038,52398.000,6435,3,PR,1,100,151415
1766633914.568035,52438.000,6451,2,PR,1,100,151460
1766633914.608032,52478.000,6451,2,PR,1,100,151501
1766633914.648029,52518.000,6467,3,PR,1,100,151575
1766633914.688025,52558.000,6467,3,PR,1,100,151599
1766633914.728022,52598.000,6467,3,PR,1,100,151611
1766633914.768019,52638.000,6484,2,PR,1,100,151584
1766633914.808016,52678.000,6484,2,PR,1,100,151465
1766633914.848012,52718.000,6501,3,PR,1,100,151381
1766633914.888009,52758.000,6501,3,PR,1,100,151342
1766633914.928006,52798.000,6501,3,PR,1,100,151387
1766633914.968003,52838.000,6516,2,PR,1,100,151443
1766633915.008000,52878.000,6516,2,PR,1,100,151468
1766633915.047996,52918.000,6532,3,PR,1,100,151518
